id	verb	transitive	derived	type
111	أَمِنَ	1	مَأْمُونٌ	Predicate
112	أَمَّنَ	1	مُؤَمَّنٌ	Predicate
113	أَنَّثَ	1	مُؤَنَّثٌ	Predicate
114	أَنْجَزَ	1	مُنْجَزٌ	Predicate
115	أَنْزَلَ	1	مُنْزَلٌ	Predicate
116	أَنْشَأَ	1	مَنْشَأٌ	Predicate
117	أَنْقَعَ	1	مُنْقَعٌ	Predicate
118	أَنْكَرَ	1	مُنْكَرٌ	Predicate
119	أَنْهَكَ	1	مُنْهَكٌ	Predicate
120	أَهَانَ	1	مُهَانٌ	Predicate
121	أَهْرَقَ	1	مُهْرَقٌ	Predicate
122	أَهِلَ	1	مَأْهُولٌ	Predicate
123	أَهَّلَ	1	مُؤَهَّلٌ	Predicate
124	أَهْمَلَ	1	مُهْمَلٌ	Predicate
125	أَوْثَقَ	1	مُوثَقٌ	Predicate
126	أَوْجَبَ	1	مُوجَبٌ	Predicate
127	أَوْجَزَ	1	مُوجَزٌ	Predicate
128	أَوْحَى	1	مُوحىً	Predicate
129	أَوْدَعَ	1	مُودَعٌ	Predicate
130	أَوْصَى	1	مُوصىً	Predicate
131	أَوْفَدَ	1	مُوفَدٌ	Predicate
132	أَوْلَعَ	1	مُولَعٌ	Predicate
133	أَوْمَأَ	1	مُومَأٌ	Predicate
134	أَوْهَنَ	1	مُوهَنٌ	Predicate
135	أَيَّدَ	1	مُؤَيَّدٌ	Predicate
136	اِئْتَمَنَ	1	مُؤْتَمَنٌ	Predicate
137	ابتدع	1	مُبتدَعٌ	Predicate
138	اِبْتَذَلَ	1	مُبْتَذَلٌ	Predicate
139	اِبْتَسَرَ	1	مُبْتَسَرٌ	Predicate
140	اِبْتَغَى	1	مُبْتَغىً	Predicate
141	اِبْتَكَرَ	1	مُبْتَكَرٌ	Predicate
142	اِبْتَلَّ	1	مُبْتَلٌّ	Predicate
143	ابْتَلَى	1	مُبْتَلىً	Predicate
144	اِتَّبَعَ	1	مُتَّبَعٌ	Predicate
145	اِتَّجَهَ	1	مُتَّجَهٌ	Predicate
146	اِتَّسَع	1	مُتَّسَعٌ	Predicate
147	اِتَّفَقَ	1	مُتَّفَقٌ	Predicate
148	اِتَّكَأَ	1	مُتَّكَأٌ	Predicate
149	اِتَّهَمَ	1	مُتَّهَمٌ	Predicate
150	اِجْتَثَّ	1	مُجْتَثٌّ	Predicate
151	اِجْتَمَعَ	1	مُجْتَمَعٌ	Predicate
152	اِحْتَرَمَ	1	مُحْتَرَمٌ	Predicate
153	اِحْتَسَبَ	1	مُحْتَسَبٌ	Predicate
154	اِحْتَضَرَ	1	مُحْتَضَرٌ	Predicate
155	اِحْتَفَلَ	1	مُحْتَفَلٌ	Predicate
156	اِحْتَقَرَ	1	مُحْتَقَرٌ	Predicate
157	اِحْتَكَرَ	1	مُحْتَكَرٌ	Predicate
158	اِحْتَلَّ	1	مُحْتَلٌّ	Predicate
159	اِحْتَمَلَ	1	مُحْتَمَلٌ	Predicate
160	اِحْدَوْدَبَ	1	مُحْدَوْدَبٌ	Predicate
161	اِخْتَارَ	1	مُخْتَارٌ	Predicate
162	اِخْتَرَعَ	1	مُخْتَرَعٌ	Predicate
163	اِخْتَزَلَ	1	مُخْتَزَلٌ	Predicate
164	اِخْتَصَرَ	1	مُخْتَصَرٌ	Predicate
165	اِخْتَلَّ	1	مُخْتَلٌّ	Predicate
166	اِخْتَلَفَ	1	مُخْتَلَفٌ	Predicate
167	اِخْتَلَقَ	1	مُخْتَلَقٌ	Predicate
168	اِدَّثَّرَ	1	مُدَّثَّرٌ	Predicate
169	اِدَّعَى	1	مُدَّعًى	Predicate
170	اِرْتَجَعَ	1	مُرْتَجَعٌ	Predicate
171	اِرْتَجَلَ	1	مُرْتَجَلٌ	Predicate
172	اِرْتَحَلَ	1	مُرْتَحَلٌ	Predicate
